date_key,full_date,day_of_week,day_num_in_month,day_num_overall,day_name,day_abbrev,weekday_flag,week_num_in_year,week_num_overall,week_begin_date,week_begin_date_key,month,month_num_overall,month_name,month_abbrev,quarter,year,yearmo,fiscal_month,fiscal_quarter,fiscal_year,last_day_in_month_flag,same_day_year_ago_date
20150123,1/23/2015,5,23,23,Friday,Fri,Weekday,4,4,1/19/2015,20150119,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/23/2014
20150124,1/24/2015,6,24,24,Saturday,Sat,Weekend,4,4,1/19/2015,20150119,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/24/2014
20150125,1/25/2015,7,25,25,Sunday,Sun,Weekend,4,4,1/19/2015,20150119,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/25/2014
20150126,1/26/2015,1,26,26,Monday,Mon,Weekday,5,5,1/26/2015,20150126,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/26/2014
20150127,1/27/2015,2,27,27,Tuesday,Tue,Weekday,5,5,1/26/2015,20150126,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/27/2014
20150128,1/28/2015,3,28,28,Wednesday,Wed,Weekday,5,5,1/26/2015,20150126,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/28/2014
20150129,1/29/2015,4,29,29,Thursday,Thu,Weekday,5,5,1/26/2015,20150126,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/29/2014
20150130,1/30/2015,5,30,30,Friday,Fri,Weekday,5,5,1/26/2015,20150126,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/30/2014
20150131,1/31/2015,6,31,31,Saturday,Sat,Weekend,5,5,1/26/2015,20150126,1,1,January,Jan,1,2015,201501,7,3,2015,Month End,1/31/2014
20150201,2/1/2015,7,1,32,Sunday,Sun,Weekend,5,5,1/26/2015,20150126,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/1/2014
20150202,2/2/2015,1,2,33,Monday,Mon,Weekday,6,6,2/2/2015,20150202,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/2/2014
20150203,2/3/2015,2,3,34,Tuesday,Tue,Weekday,6,6,2/2/2015,20150202,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/3/2014
20150204,2/4/2015,3,4,35,Wednesday,Wed,Weekday,6,6,2/2/2015,20150202,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/4/2014
20150205,2/5/2015,4,5,36,Thursday,Thu,Weekday,6,6,2/2/2015,20150202,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/5/2014
20150206,2/6/2015,5,6,37,Friday,Fri,Weekday,6,6,2/2/2015,20150202,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/6/2014
20150207,2/7/2015,6,7,38,Saturday,Sat,Weekend,6,6,2/2/2015,20150202,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/7/2014
20150208,2/8/2015,7,8,39,Sunday,Sun,Weekend,6,6,2/2/2015,20150202,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/8/2014
20150209,2/9/2015,1,9,40,Monday,Mon,Weekday,7,7,2/9/2015,20150209,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/9/2014
20150210,2/10/2015,2,10,41,Tuesday,Tue,Weekday,7,7,2/9/2015,20150209,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/10/2014
20150211,2/11/2015,3,11,42,Wednesday,Wed,Weekday,7,7,2/9/2015,20150209,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/11/2014
20150212,2/12/2015,4,12,43,Thursday,Thu,Weekday,7,7,2/9/2015,20150209,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/12/2014
20150213,2/13/2015,5,13,44,Friday,Fri,Weekday,7,7,2/9/2015,20150209,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/13/2014
20150214,2/14/2015,6,14,45,Saturday,Sat,Weekend,7,7,2/9/2015,20150209,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/14/2014
20150215,2/15/2015,7,15,46,Sunday,Sun,Weekend,7,7,2/9/2015,20150209,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/15/2014
20150216,2/16/2015,1,16,47,Monday,Mon,Weekday,8,8,2/16/2015,20150216,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/16/2014
20150217,2/17/2015,2,17,48,Tuesday,Tue,Weekday,8,8,2/16/2015,20150216,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/17/2014
20150218,2/18/2015,3,18,49,Wednesday,Wed,Weekday,8,8,2/16/2015,20150216,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/18/2014
20150219,2/19/2015,4,19,50,Thursday,Thu,Weekday,8,8,2/16/2015,20150216,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/19/2014
20150220,2/20/2015,5,20,51,Friday,Fri,Weekday,8,8,2/16/2015,20150216,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/20/2014
20150221,2/21/2015,6,21,52,Saturday,Sat,Weekend,8,8,2/16/2015,20150216,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/21/2014
20150222,2/22/2015,7,22,53,Sunday,Sun,Weekend,8,8,2/16/2015,20150216,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/22/2014
20150223,2/23/2015,1,23,54,Monday,Mon,Weekday,9,9,2/23/2015,20150223,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/23/2014
20150224,2/24/2015,2,24,55,Tuesday,Tue,Weekday,9,9,2/23/2015,20150223,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/24/2014
20150225,2/25/2015,3,25,56,Wednesday,Wed,Weekday,9,9,2/23/2015,20150223,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/25/2014
20150226,2/26/2015,4,26,57,Thursday,Thu,Weekday,9,9,2/23/2015,20150223,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/26/2014
20150227,2/27/2015,5,27,58,Friday,Fri,Weekday,9,9,2/23/2015,20150223,2,2,February,Feb,1,2015,201502,8,3,2015,Not Month End,2/27/2014
20150228,2/28/2015,6,28,59,Saturday,Sat,Weekend,9,9,2/23/2015,20150223,2,2,February,Feb,1,2015,201502,8,3,2015,Month End,2/28/2014
20150301,3/1/2015,7,1,60,Sunday,Sun,Weekend,9,9,2/23/2015,20150223,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/1/2014
20150302,3/2/2015,1,2,61,Monday,Mon,Weekday,10,10,3/2/2015,20150302,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/2/2014
20150303,3/3/2015,2,3,62,Tuesday,Tue,Weekday,10,10,3/2/2015,20150302,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/3/2014
20150304,3/4/2015,3,4,63,Wednesday,Wed,Weekday,10,10,3/2/2015,20150302,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/4/2014
20150305,3/5/2015,4,5,64,Thursday,Thu,Weekday,10,10,3/2/2015,20150302,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/5/2014
20150306,3/6/2015,5,6,65,Friday,Fri,Weekday,10,10,3/2/2015,20150302,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/6/2014
20150307,3/7/2015,6,7,66,Saturday,Sat,Weekend,10,10,3/2/2015,20150302,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/7/2014
20150308,3/8/2015,7,8,67,Sunday,Sun,Weekend,10,10,3/2/2015,20150302,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/8/2014
20150309,3/9/2015,1,9,68,Monday,Mon,Weekday,11,11,3/9/2015,20150309,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/9/2014
20150310,3/10/2015,2,10,69,Tuesday,Tue,Weekday,11,11,3/9/2015,20150309,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/10/2014
20150311,3/11/2015,3,11,70,Wednesday,Wed,Weekday,11,11,3/9/2015,20150309,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/11/2014
20150312,3/12/2015,4,12,71,Thursday,Thu,Weekday,11,11,3/9/2015,20150309,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/12/2014
20150313,3/13/2015,5,13,72,Friday,Fri,Weekday,11,11,3/9/2015,20150309,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/13/2014
20150314,3/14/2015,6,14,73,Saturday,Sat,Weekend,11,11,3/9/2015,20150309,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/14/2014
20150315,3/15/2015,7,15,74,Sunday,Sun,Weekend,11,11,3/9/2015,20150309,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/15/2014
20150316,3/16/2015,1,16,75,Monday,Mon,Weekday,12,12,3/16/2015,20150316,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/16/2014
20150317,3/17/2015,2,17,76,Tuesday,Tue,Weekday,12,12,3/16/2015,20150316,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/17/2014
20150318,3/18/2015,3,18,77,Wednesday,Wed,Weekday,12,12,3/16/2015,20150316,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/18/2014
20150319,3/19/2015,4,19,78,Thursday,Thu,Weekday,12,12,3/16/2015,20150316,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/19/2014
20150320,3/20/2015,5,20,79,Friday,Fri,Weekday,12,12,3/16/2015,20150316,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/20/2014
20150321,3/21/2015,6,21,80,Saturday,Sat,Weekend,12,12,3/16/2015,20150316,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/21/2014
20150322,3/22/2015,7,22,81,Sunday,Sun,Weekend,12,12,3/16/2015,20150316,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/22/2014
20150323,3/23/2015,1,23,82,Monday,Mon,Weekday,13,13,3/23/2015,20150323,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/23/2014
20150324,3/24/2015,2,24,83,Tuesday,Tue,Weekday,13,13,3/23/2015,20150323,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/24/2014
20150325,3/25/2015,3,25,84,Wednesday,Wed,Weekday,13,13,3/23/2015,20150323,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/25/2014
20150326,3/26/2015,4,26,85,Thursday,Thu,Weekday,13,13,3/23/2015,20150323,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/26/2014
20150327,3/27/2015,5,27,86,Friday,Fri,Weekday,13,13,3/23/2015,20150323,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/27/2014
20150328,3/28/2015,6,28,87,Saturday,Sat,Weekend,13,13,3/23/2015,20150323,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/28/2014
20150329,3/29/2015,7,29,88,Sunday,Sun,Weekend,13,13,3/23/2015,20150323,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/29/2014
20150330,3/30/2015,1,30,89,Monday,Mon,Weekday,14,14,3/30/2015,20150330,3,3,March,Mar,1,2015,201503,9,3,2015,Not Month End,3/30/2014
20150331,3/31/2015,2,31,90,Tuesday,Tue,Weekday,14,14,3/30/2015,20150330,3,3,March,Mar,1,2015,201503,9,3,2015,Month End,3/31/2014
20150401,4/1/2015,3,1,91,Wednesday,Wed,Weekday,14,14,3/30/2015,20150330,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/1/2014
20150402,4/2/2015,4,2,92,Thursday,Thu,Weekday,14,14,3/30/2015,20150330,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/2/2014
20150403,4/3/2015,5,3,93,Friday,Fri,Weekday,14,14,3/30/2015,20150330,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/3/2014
20150404,4/4/2015,6,4,94,Saturday,Sat,Weekend,14,14,3/30/2015,20150330,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/4/2014
20150405,4/5/2015,7,5,95,Sunday,Sun,Weekend,14,14,3/30/2015,20150330,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/5/2014
20150406,4/6/2015,1,6,96,Monday,Mon,Weekday,15,15,4/6/2015,20150406,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/6/2014
20150407,4/7/2015,2,7,97,Tuesday,Tue,Weekday,15,15,4/6/2015,20150406,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/7/2014
20150408,4/8/2015,3,8,98,Wednesday,Wed,Weekday,15,15,4/6/2015,20150406,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/8/2014
20150409,4/9/2015,4,9,99,Thursday,Thu,Weekday,15,15,4/6/2015,20150406,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/9/2014
20150410,4/10/2015,5,10,100,Friday,Fri,Weekday,15,15,4/6/2015,20150406,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/10/2014
20150411,4/11/2015,6,11,101,Saturday,Sat,Weekend,15,15,4/6/2015,20150406,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/11/2014
20150412,4/12/2015,7,12,102,Sunday,Sun,Weekend,15,15,4/6/2015,20150406,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/12/2014
20150413,4/13/2015,1,13,103,Monday,Mon,Weekday,16,16,4/13/2015,20150413,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/13/2014
20150414,4/14/2015,2,14,104,Tuesday,Tue,Weekday,16,16,4/13/2015,20150413,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/14/2014
20150415,4/15/2015,3,15,105,Wednesday,Wed,Weekday,16,16,4/13/2015,20150413,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/15/2014
20150416,4/16/2015,4,16,106,Thursday,Thu,Weekday,16,16,4/13/2015,20150413,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/16/2014
20150417,4/17/2015,5,17,107,Friday,Fri,Weekday,16,16,4/13/2015,20150413,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/17/2014
20150418,4/18/2015,6,18,108,Saturday,Sat,Weekend,16,16,4/13/2015,20150413,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/18/2014
20150419,4/19/2015,7,19,109,Sunday,Sun,Weekend,16,16,4/13/2015,20150413,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/19/2014
20150420,4/20/2015,1,20,110,Monday,Mon,Weekday,17,17,4/20/2015,20150420,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/20/2014
20150421,4/21/2015,2,21,111,Tuesday,Tue,Weekday,17,17,4/20/2015,20150420,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/21/2014
20150422,4/22/2015,3,22,112,Wednesday,Wed,Weekday,17,17,4/20/2015,20150420,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/22/2014
20150423,4/23/2015,4,23,113,Thursday,Thu,Weekday,17,17,4/20/2015,20150420,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/23/2014
20150424,4/24/2015,5,24,114,Friday,Fri,Weekday,17,17,4/20/2015,20150420,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/24/2014
20150425,4/25/2015,6,25,115,Saturday,Sat,Weekend,17,17,4/20/2015,20150420,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/25/2014
20150426,4/26/2015,7,26,116,Sunday,Sun,Weekend,17,17,4/20/2015,20150420,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/26/2014
20150427,4/27/2015,1,27,117,Monday,Mon,Weekday,18,18,4/27/2015,20150427,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/27/2014
20150428,4/28/2015,2,28,118,Tuesday,Tue,Weekday,18,18,4/27/2015,20150427,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/28/2014
20150429,4/29/2015,3,29,119,Wednesday,Wed,Weekday,18,18,4/27/2015,20150427,4,4,April,Apr,2,2015,201504,10,4,2015,Not Month End,4/29/2014
20150430,4/30/2015,4,30,120,Thursday,Thu,Weekday,18,18,4/27/2015,20150427,4,4,April,Apr,2,2015,201504,10,4,2015,Month End,4/30/2014
20150501,5/1/2015,5,1,121,Friday,Fri,Weekday,18,18,4/27/2015,20150427,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/1/2014
20150502,5/2/2015,6,2,122,Saturday,Sat,Weekend,18,18,4/27/2015,20150427,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/2/2014
20150503,5/3/2015,7,3,123,Sunday,Sun,Weekend,18,18,4/27/2015,20150427,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/3/2014
20150504,5/4/2015,1,4,124,Monday,Mon,Weekday,19,19,5/4/2015,20150504,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/4/2014
20150505,5/5/2015,2,5,125,Tuesday,Tue,Weekday,19,19,5/4/2015,20150504,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/5/2014
20150506,5/6/2015,3,6,126,Wednesday,Wed,Weekday,19,19,5/4/2015,20150504,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/6/2014
20150507,5/7/2015,4,7,127,Thursday,Thu,Weekday,19,19,5/4/2015,20150504,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/7/2014
20150508,5/8/2015,5,8,128,Friday,Fri,Weekday,19,19,5/4/2015,20150504,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/8/2014
20150509,5/9/2015,6,9,129,Saturday,Sat,Weekend,19,19,5/4/2015,20150504,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/9/2014
20150510,5/10/2015,7,10,130,Sunday,Sun,Weekend,19,19,5/4/2015,20150504,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/10/2014
20150511,5/11/2015,1,11,131,Monday,Mon,Weekday,20,20,5/11/2015,20150511,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/11/2014
20150512,5/12/2015,2,12,132,Tuesday,Tue,Weekday,20,20,5/11/2015,20150511,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/12/2014
20150513,5/13/2015,3,13,133,Wednesday,Wed,Weekday,20,20,5/11/2015,20150511,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/13/2014
20150514,5/14/2015,4,14,134,Thursday,Thu,Weekday,20,20,5/11/2015,20150511,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/14/2014
20150515,5/15/2015,5,15,135,Friday,Fri,Weekday,20,20,5/11/2015,20150511,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/15/2014
20150516,5/16/2015,6,16,136,Saturday,Sat,Weekend,20,20,5/11/2015,20150511,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/16/2014
20150517,5/17/2015,7,17,137,Sunday,Sun,Weekend,20,20,5/11/2015,20150511,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/17/2014
20150518,5/18/2015,1,18,138,Monday,Mon,Weekday,21,21,5/18/2015,20150518,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/18/2014
20150519,5/19/2015,2,19,139,Tuesday,Tue,Weekday,21,21,5/18/2015,20150518,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/19/2014
20150520,5/20/2015,3,20,140,Wednesday,Wed,Weekday,21,21,5/18/2015,20150518,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/20/2014
20150521,5/21/2015,4,21,141,Thursday,Thu,Weekday,21,21,5/18/2015,20150518,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/21/2014
20150522,5/22/2015,5,22,142,Friday,Fri,Weekday,21,21,5/18/2015,20150518,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/22/2014
20150523,5/23/2015,6,23,143,Saturday,Sat,Weekend,21,21,5/18/2015,20150518,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/23/2014
20150524,5/24/2015,7,24,144,Sunday,Sun,Weekend,21,21,5/18/2015,20150518,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/24/2014
20150525,5/25/2015,1,25,145,Monday,Mon,Weekday,22,22,5/25/2015,20150525,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/25/2014
20150526,5/26/2015,2,26,146,Tuesday,Tue,Weekday,22,22,5/25/2015,20150525,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/26/2014
20150527,5/27/2015,3,27,147,Wednesday,Wed,Weekday,22,22,5/25/2015,20150525,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/27/2014
20150528,5/28/2015,4,28,148,Thursday,Thu,Weekday,22,22,5/25/2015,20150525,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/28/2014
20150529,5/29/2015,5,29,149,Friday,Fri,Weekday,22,22,5/25/2015,20150525,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/29/2014
20150530,5/30/2015,6,30,150,Saturday,Sat,Weekend,22,22,5/25/2015,20150525,5,5,May,May,2,2015,201505,11,4,2015,Not Month End,5/30/2014
20150531,5/31/2015,7,31,151,Sunday,Sun,Weekend,22,22,5/25/2015,20150525,5,5,May,May,2,2015,201505,11,4,2015,Month End,5/31/2014
20150601,6/1/2015,1,1,152,Monday,Mon,Weekday,23,23,6/1/2015,20150601,6,6,June,Jun,2,2015,201506,12,4,2015,Not Month End,6/1/2014
20150602,6/2/2015,2,2,153,Tuesday,Tue,Weekday,23,23,6/1/2015,20150601,6,6,June,Jun,2,2015,201506,12,4,2015,Not Month End,6/2/2014
20150603,6/3/2015,3,3,154,Wednesday,Wed,Weekday,23,23,6/1/2015,20150601,6,6,June,Jun,2,2015,201506,12,4,2015,Not Month End,6/3/2014
20150604,6/4/2015,4,4,155,Thursday,Thu,Weekday,23,23,6/1/2015,20150601,6,6,June,Jun,2,2015,201506,12,4,2015,Not Month End,6/4/2014
20150605,6/5/2015,5,5,156,Friday,Fri,Weekday,23,23,6/1/2015,20150601,6,6,June,Jun,2,2015,201506,12,4,2015,Not Month End,6/5/2014
20150606,6/6/2015,6,6,157,Saturday,Sat,Weekend,23,23,6/1/2015,20150601,6,6,June,Jun,2,2015,201506,12,4,2015,Not Month End,6/6/2014
20150607,6/7/2015,7,7,158,Sunday,Sun,Weekend,23,23,6/1/2015,20150601,6,6,June,Jun,2,2015,201506,12,4,2015,Not Month End,6/7/2014
20150608,6/8/2015,1,8,159,Monday,Mon,Weekday,24,24,6/8/2015,20150608,6,6,June,Jun,2,2015,201506,12,4,2015,Not Month End,6/8/2014
20150609,6/9/2015,2,9,160,Tuesday,Tue,Weekday,24,24,6/8/2015,20150608,6,6,June,Jun,2,2015,201506,12,4,2015,Not Month End,6/9/2014
20150610,6/10/2015,3,10,161,Wednesday,Wed,Weekday,24,24,6/8/2015,20150608,6,6,June,Jun,2,2015,201506,12,4,2015,Not Month End,6/10/2014
20150611,6/11/2015,4,11,162,Thursday,Thu,Weekday,24,24,6/8/2015,20150608,6,6,June,Jun,2,2015,201506,12,4,2015,Not Month End,6/11/2014
20150612,6/12/2015,5,12,163,Friday,Fri,Weekday,24,24,6/8/2015,20150608,6,6,June,Jun,2,2015,201506,12,4,2015,Not Month End,6/12/2014
